Forecast_Cd,Forecast_Name,fecha,mth,dia_sem,dia_sem_txt,cierre_tj,Cant_Trx,flag_tj_vto,flag_tv_vto,flag_tm_vto,flag_tj_cierre,flag_tv_cierre,flag_tm_cierre
302,TAS,1/13/2012,201201,6,VIE,0,0,,,,,,
701,TS,1/13/2012,201201,6,VIE,0,0,,,,,,
602,ACCESS BANKING,1/14/2012,201201,7,SAB,0,71822,,,,,,
400,ATM,1/14/2012,201201,7,SAB,0,52060,,,,,,
601,CONNECTION BANKING,1/14/2012,201201,7,SAB,0,32,,,,,,
201,HOLA OPERADOR,1/14/2012,201201,7,SAB,0,81,,,,,,
202,IVR,1/14/2012,201201,7,SAB,0,0,,,,,,
500,MOBILE,1/14/2012,201201,7,SAB,0,1017,,,,,,
301,QDB,1/14/2012,201201,7,SAB,0,0,,,,,,
100,SUCURSALES,1/14/2012,201201,7,SAB,0,0,,,,,,
302,TAS,1/14/2012,201201,7,SAB,0,0,,,,,,
701,TS,1/14/2012,201201,7,SAB,0,0,,,,,,
602,ACCESS BANKING,1/15/2012,201201,1,DOM,0,62740,,,,,,
400,ATM,1/15/2012,201201,1,DOM,0,28749,,,,,,
601,CONNECTION BANKING,1/15/2012,201201,1,DOM,0,9,,,,,,
201,HOLA OPERADOR,1/15/2012,201201,1,DOM,0,0,,,,,,
202,IVR,1/15/2012,201201,1,DOM,0,0,,,,,,
500,MOBILE,1/15/2012,201201,1,DOM,0,797,,,,,,
301,QDB,1/15/2012,201201,1,DOM,0,0,,,,,,
100,SUCURSALES,1/15/2012,201201,1,DOM,0,0,,,,,,
302,TAS,1/15/2012,201201,1,DOM,0,0,,,,,,
701,TS,1/15/2012,201201,1,DOM,0,0,,,,,,
602,ACCESS BANKING,1/16/2012,201201,2,LUN,0,318715,,,,,,
400,ATM,1/16/2012,201201,2,LUN,0,72794,,,,,,
601,CONNECTION BANKING,1/16/2012,201201,2,LUN,0,54465,,,,,,
201,HOLA OPERADOR,1/16/2012,201201,2,LUN,0,11808,,,,,,
202,IVR,1/16/2012,201201,2,LUN,0,20592,,,,,,
500,MOBILE,1/16/2012,201201,2,LUN,0,1167,,,,,,
301,QDB,1/16/2012,201201,2,LUN,0,29744,,,,,,
